TJ Clays Limited t/a TJ Books,,,,,,,,,,,,,,,,,,
Daily production report,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,
45820,Thursday,,,,,,,,,,,,,,,,,
,,12,45809,,154,165,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Yesterday,,,,,,,,,,,,,Month to date,,,,,
,,,,,,,,,,,,,,,,,,
Quantity,,,,,,,,,,,,,Quantity,,,,,
,Actual,Target,Variance,,,Heads,Hours,,Per paid hour,Budget,,,,Actual,Target,Variance,,
Conventional books,1614,11000,-9386,,,11,132,,12.22727273,83.33333333,,,Conventional books,11184,115500,-104316,,
POD,800,1250,-450,,,2,24,,33.33333333,52.08333333,,,POD,7927,11250,-3323,,
Personalised books,1774,3000,-1226,,,2,24,,73.91666667,125,,,Personalised books,11756,26000.001,-14244.001,,
Clays Trade,269,12500,-12231,,,10,120,,2.241666667,104.1666667,,,Clays Trade,8541,131250,-122709,,
,,,,,,,,,,,,,,,,,,
On time,,,,,,,,,,,,,On time,,,,,
,Number of jobs late,Total jobs,Quantity late,Total quantity,,,,,,,% on time,,,Number of jobs late,Total jobs,Quantity late,Total quantity,% on time
Conventional books & Clays Trade,3,23,506,4171,,,,,,,0.869565217,,Conventional books & Clays Trade,15,484,7541,99126,0.969008264
POD,,,,,,,,,,,1,,POD,,,,,1
Personalised books,,,498,1774,,,,,,,0.719278467,,Personalised books,,,3619,11756,0.692157196
,,,,,,,,,,,,,,,,,,
In Full,,,,,,,,,,,,,In Full,,,,,
,Number of jobs short,Quantity requested,Actual Quantity,Short,,,,,,,%age short,,,Number of jobs short,Quantity requested,Actual Quantity,Short,%age short
Conventional books & Clays Trade,1,150,144,-6,,,,,,,-0.04,,Conventional books & Clays Trade,17,16725,16505,-220,-0.013153961
POD,,,,0,,,,,,,0,,POD,,,,0,0
Personalised books,,,,0,,,,,,,0,,Personalised books,,,,0,0
,,,,,,,,,,,,,,,,,,
Rework,,,,,,,,,,,,,,,,,,
,Number of jobs,Number of job parts,Quantity,Value (£),,,,,,,,,,,,,,
Yesterday,1,1,750,354.25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Month to date,8,10,3483,3163.22,,,,,,,,,,,,,,
